name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace,cyclomatic
"CameraPreview.<init>(Context,Camera$PreviewCallback,Camera$AutoFocusCallback)","com.dm.zbar.android.scanner.CameraPreview.<init>(android.content.Context,android.hardware.Camera$Pre5BF0",1,0,  ,124,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,27,174,N,"void CameraPreview.<init>(Context,Camera$PreviewCallback,Camera$AutoFocusCallback)(class com.dm.zbar.android.scanner.CameraPreview *this, class android.content.Context *context, class android.hardware.Camera$PreviewCallback *previewCallback, class android.hardware.Camera$AutoFocusCallback *autoFocusCb)",15,0.93,0.85,0,6,17 27 28 30 31 32 33 37 38 39 40,1
"Camera$Size CameraPreview.getOptimalPreviewSize(List,int,int)","com.dm.zbar.android.scanner.CameraPreview.getOptimalPreviewSize(java.util.List,int,int):android.hard2F32",0,1,TO,334,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,121,174,N,"class android.hardware.Camera$Size *Camera$Size CameraPreview.getOptimalPreviewSize(List,int,int)(class com.dm.zbar.android.scanner.CameraPreview *this, class java.util.List *sizes, int w, int h)",52,0.00,0.85,1,5,,8
"void CameraPreview.hideSurfaceView()","com.dm.zbar.android.scanner.CameraPreview.hideSurfaceView():void",1,0,  ,20,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,92,174,N,"void void CameraPreview.hideSurfaceView()(class com.dm.zbar.android.scanner.CameraPreview *this)",5,0.80,0.30,0,1,92 93 94,1
"void CameraPreview.onLayout(boolean,int,int,int,int)","com.dm.zbar.android.scanner.CameraPreview.onLayout(boolean,int,int,int,int):void",3,2,TO,587,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,65,174,N,"void void CameraPreview.onLayout(boolean,int,int,int,int)(class com.dm.zbar.android.scanner.CameraPreview *this, _Bool changed, int l, int t, int r, int b)",24,0.83,0.60,0,3,65 66 67 69 70 72 73 74 80 81 82 85 86 90,6
"void CameraPreview.onMeasure(int,int)","com.dm.zbar.android.scanner.CameraPreview.onMeasure(int,int):void",2,0,  ,84,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,51,174,N,"void void CameraPreview.onMeasure(int,int)(class com.dm.zbar.android.scanner.CameraPreview *this, int widthMeasureSpec, int heightMeasureSpec)",13,0.00,1.04,0,10,,2
"void CameraPreview.setCamera(Camera)","com.dm.zbar.android.scanner.CameraPreview.setCamera(android.hardware.Camera):void",2,0,  ,114,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,42,174,N,"void void CameraPreview.setCamera(Camera)(class com.dm.zbar.android.scanner.CameraPreview *this, class android.hardware.Camera *camera)",11,0.91,0.60,0,3,42 43 44 45 46 48,2
"void CameraPreview.showSurfaceView()","com.dm.zbar.android.scanner.CameraPreview.showSurfaceView():void",1,0,  ,20,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,96,174,N,"void void CameraPreview.showSurfaceView()(class com.dm.zbar.android.scanner.CameraPreview *this)",5,0.80,0.30,0,1,96 97 98,1
"void CameraPreview.surfaceChanged(SurfaceHolder,int,int,int)","com.dm.zbar.android.scanner.CameraPreview.surfaceChanged(android.view.SurfaceHolder,int,int,int):voiDA9F",2,1,  ,213,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,154,174,N,"void void CameraPreview.surfaceChanged(SurfaceHolder,int,int,int)(class com.dm.zbar.android.scanner.CameraPreview *this, class android.view.SurfaceHolder *holder, int format, int w, int h)",17,0.94,0.95,0,8,154 155 157 160 163 164 165 167 168 169 170 172,3
"void CameraPreview.surfaceCreated(SurfaceHolder)","com.dm.zbar.android.scanner.CameraPreview.surfaceCreated(android.view.SurfaceHolder):void",2,0,  ,78,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,100,174,N,"void void CameraPreview.surfaceCreated(SurfaceHolder)(class com.dm.zbar.android.scanner.CameraPreview *this, class android.view.SurfaceHolder *holder)",12,0.50,0.48,0,2,100 104 105 110,3
"void CameraPreview.surfaceDestroyed(SurfaceHolder)","com.dm.zbar.android.scanner.CameraPreview.surfaceDestroyed(android.view.SurfaceHolder):void",2,0,  ,74,0,/Users/ruibrito/IdeaProjects/SvgNaviMap/AndroidSvgNaviMap/src/com/dm/zbar/android/scanner/CameraPreview.java,112,174,N,"void void CameraPreview.surfaceDestroyed(SurfaceHolder)(class com.dm.zbar.android.scanner.CameraPreview *this, class android.view.SurfaceHolder *holder)",8,0.88,0.48,0,2,112 114 115 116 118,2
