@relation _tm450

@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 14:30:c6:3e:e5:7c integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 00:0e:8f:18:9a:93 integer
@attribute 6c:aa:b3:39:e1:a8 integer

@attribute ROOM {4041,4040,4039,4038,}

@data

35,52,56,34,53,56,74,75,74,74,74,87,87,0,0,0,0,0,0,0,0,0,4041
42,52,56,42,52,55,78,88,80,81,81,87,87,0,0,0,0,0,0,0,0,0,4041
45,54,55,45,55,54,78,92,77,81,81,80,80,90,91,88,0,0,0,0,0,0,4041
39,48,53,39,49,53,79,78,78,78,80,80,80,90,91,88,84,83,0,0,0,0,4041
38,56,49,39,55,49,79,73,75,72,72,73,77,0,0,0,84,83,0,0,0,0,4041
40,50,46,40,50,46,76,84,76,78,76,73,77,82,81,81,0,0,0,0,0,0,4041
39,48,45,39,48,45,76,82,76,76,76,0,0,85,81,81,0,0,0,0,0,0,4041
38,62,53,38,62,53,0,82,0,72,74,0,0,86,0,0,0,0,0,0,0,0,4041
43,55,50,44,55,50,0,0,75,78,78,0,0,86,0,0,0,0,0,0,0,0,4041
35,59,54,35,60,55,73,92,73,70,70,0,84,0,0,0,0,0,0,0,0,0,4041
39,51,48,39,50,49,73,79,73,70,70,79,78,82,0,0,0,0,0,0,0,0,4041
39,51,51,39,51,51,0,79,0,0,0,79,78,82,86,0,0,0,0,0,0,0,4041
50,53,72,48,52,73,81,83,82,77,76,0,0,0,0,0,0,0,93,0,0,0,4040
40,52,64,39,54,64,73,79,73,75,75,0,0,0,0,0,72,71,93,0,0,0,4040
37,56,60,37,56,59,79,79,77,83,84,0,0,0,0,0,72,82,0,0,0,0,4040
42,49,71,43,50,71,76,73,78,77,77,75,75,0,0,0,0,82,0,0,0,0,4040
42,52,62,42,51,63,81,77,79,77,77,73,73,0,0,0,0,0,0,0,0,0,4040
43,54,61,43,54,62,81,83,79,77,77,73,71,0,0,0,0,0,0,0,0,0,4040
46,52,71,45,52,69,0,83,0,77,77,73,74,0,0,0,0,0,0,0,0,0,4040
39,49,74,39,50,73,0,0,80,77,77,75,75,0,0,0,0,0,0,0,0,0,4040
42,50,67,43,50,67,69,0,69,75,73,75,75,86,0,0,0,0,0,0,0,0,4040
52,45,69,52,44,69,78,79,80,82,69,80,76,0,0,0,0,0,0,94,0,0,4039
52,45,79,52,44,78,78,81,79,78,76,80,79,0,0,0,0,0,0,94,0,0,4039
53,47,72,53,47,71,0,82,0,0,0,76,75,0,0,0,83,82,0,0,88,0,4039
49,49,78,49,49,81,0,87,0,0,0,83,82,0,0,0,0,0,0,0,0,0,4039
50,46,67,51,46,69,76,85,77,77,77,75,75,0,0,0,0,0,0,0,0,0,4039
55,45,83,55,44,84,83,80,79,78,77,68,68,0,0,0,0,0,0,0,0,0,4039
49,44,78,49,44,77,83,76,79,75,73,68,67,0,0,0,0,0,0,0,0,0,4039
53,45,78,53,44,77,0,76,0,74,75,68,68,0,0,0,0,0,0,0,0,0,4039
53,45,91,52,45,80,0,80,0,74,75,68,67,0,0,0,0,85,0,0,0,0,4039
55,47,77,55,47,77,0,77,0,78,78,69,69,0,0,0,82,83,0,0,0,0,4039
51,44,75,50,43,73,80,88,80,78,77,69,70,0,0,0,79,80,0,0,0,0,4039
59,42,75,58,41,73,80,85,80,82,81,77,74,0,0,0,79,80,82,83,0,0,4038
47,45,0,47,45,0,0,85,0,76,71,76,74,0,0,0,0,0,82,83,0,0,4038
48,45,0,49,45,0,0,85,0,72,73,73,72,0,0,0,0,0,92,91,0,0,4038
46,47,0,46,47,0,76,90,80,80,80,70,69,0,0,0,0,0,92,91,0,0,4038
45,43,81,45,42,78,76,90,80,80,80,77,77,0,0,0,82,0,0,0,0,0,4038
46,41,82,46,41,81,0,0,0,84,85,75,76,0,0,0,82,0,93,94,0,0,4038
44,49,82,44,49,0,79,78,78,76,75,70,70,0,0,0,0,0,0,0,0,0,4038
42,39,0,42,38,0,0,71,0,75,77,70,68,0,0,0,0,0,85,84,0,91,4038
47,39,75,48,39,76,0,72,0,80,80,66,66,0,0,0,0,0,88,88,0,0,4038
