@relation _tm450

@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 84:18:3a:29:05:3c integer
@attribute 84:18:3a:69:05:3c integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer

@attribute ROOM {4038,4039,4040,4041,}

@data

57,0,47,58,0,46,88,87,71,84,71,81,0,0,83,83,82,85,0,0,0,4038
49,0,52,50,85,52,76,76,74,85,75,86,79,81,83,83,82,85,0,0,0,4038
61,78,58,60,77,58,82,81,80,76,80,77,79,81,0,0,0,0,0,0,0,4039
53,78,53,53,79,53,81,82,80,76,80,77,82,82,90,0,0,88,0,0,0,4039
48,78,59,48,79,58,80,79,83,83,83,81,82,82,90,91,92,88,0,0,0,4039
55,75,55,54,76,55,83,83,85,83,83,81,0,0,0,91,92,0,0,0,0,4039
41,73,67,41,72,68,78,78,0,76,73,76,0,0,0,0,0,0,0,0,0,4040
53,65,57,53,67,57,79,79,77,77,77,79,79,78,0,0,0,0,0,0,0,4040
47,73,63,47,67,62,82,82,82,83,82,82,79,78,0,0,0,0,0,0,0,4040
51,73,56,52,73,56,89,92,82,83,82,82,0,0,0,0,0,0,0,0,0,4040
46,77,52,46,74,52,78,77,77,0,76,0,81,80,0,0,0,0,0,0,0,4040
53,78,68,52,79,68,89,89,80,82,80,85,81,80,0,0,0,0,0,0,0,4040
35,0,61,35,0,61,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
47,75,54,47,70,54,81,79,83,80,81,80,0,0,83,0,0,80,0,0,0,4041
35,54,65,35,55,65,70,71,83,70,81,70,0,0,85,0,0,0,0,0,0,4041
36,54,52,37,54,52,76,77,85,74,84,73,78,76,85,0,0,84,0,0,0,4041
26,57,59,26,58,59,83,84,85,75,84,75,78,76,0,0,0,84,86,88,86,4041
36,53,59,35,53,59,87,86,0,73,0,75,0,0,0,0,0,0,86,88,86,4041
48,75,48,48,76,49,81,81,80,71,79,71,72,74,83,91,0,0,0,0,0,4038
64,0,56,63,0,54,83,84,74,71,75,71,72,74,0,85,84,0,0,0,0,4038
54,79,52,54,82,52,78,78,78,79,79,78,0,0,0,85,84,0,0,0,0,4038
55,79,52,57,83,52,84,84,76,79,77,78,0,0,88,0,0,0,0,0,0,4038
49,77,56,49,77,56,85,84,76,0,77,0,0,0,88,0,0,0,0,0,0,4038
49,80,56,49,78,56,88,89,74,83,75,84,79,78,0,92,92,0,0,0,0,4038
