@relation _tm450

@attribute 6c:aa:b3:39:f0:b8 integer
@attribute 6c:aa:b3:3c:80:88 integer
@attribute 6c:aa:b3:3c:33:a8 integer
@attribute 6c:aa:b3:79:f0:b8 integer
@attribute 6c:aa:b3:7c:80:88 integer
@attribute 6c:aa:b3:7c:33:a8 integer
@attribute 6c:aa:b3:37:f5:68 integer
@attribute 6c:aa:b3:77:f5:68 integer
@attribute 6c:aa:b3:39:f0:bc integer
@attribute 6c:aa:b3:79:f0:bc integer
@attribute 6c:aa:b3:38:0d:a8 integer
@attribute 6c:aa:b3:78:0d:a8 integer
@attribute 6c:aa:b3:3c:80:8c integer
@attribute 6c:aa:b3:7c:80:8c integer
@attribute 6c:aa:b3:3c:33:ac integer
@attribute 84:18:3a:2c:06:58 integer
@attribute 6c:aa:b3:7c:33:ac integer
@attribute 84:18:3a:6c:06:58 integer
@attribute 6c:aa:b3:38:0d:ac integer
@attribute 6c:aa:b3:78:0d:ac integer
@attribute 00:26:99:4f:e1:60 integer
@attribute 00:26:99:4f:e1:61 integer
@attribute 00:26:99:4f:db:11 integer
@attribute 00:26:99:4f:db:10 integer
@attribute 18:83:bf:da:3c:1e integer
@attribute 00:19:cb:57:e4:18 integer
@attribute 00:0b:3b:cb:ea:1c integer
@attribute 84:18:3a:28:fc:d8 integer
@attribute 84:18:3a:23:ae:08 integer
@attribute c0:25:06:71:ee:29 integer
@attribute bc:14:01:c4:fe:fa integer
@attribute 84:18:3a:68:fc:d8 integer
@attribute 84:18:3a:63:ae:08 integer
@attribute bc:85:56:cf:07:91 integer
@attribute 74:31:70:10:24:42 integer

@attribute ROOM {4141,4137,4142,4143,4139,4138,}

@data

70,62,83,71,62,84,66,68,78,79,0,0,75,74,87,93,87,86,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
76,71,79,76,73,80,63,63,82,80,0,0,77,77,85,93,86,86,0,0,0,86,91,0,0,0,0,0,0,0,0,0,0,0,0,4139
78,68,80,80,67,80,56,57,77,77,88,0,75,75,86,0,86,0,0,0,0,0,91,0,88,0,0,0,0,0,0,0,0,0,0,4139
73,77,82,73,78,80,51,52,81,81,88,0,82,83,86,0,86,0,0,0,0,0,0,0,88,85,0,0,0,0,0,0,0,0,0,4138
73,71,84,80,70,86,58,58,76,76,0,0,75,75,89,0,90,0,0,0,0,0,0,0,83,85,75,85,91,92,84,86,90,0,0,4138
79,61,80,81,60,79,43,43,76,76,0,87,71,72,92,77,92,78,0,0,0,0,0,0,83,0,75,85,91,92,84,86,90,0,0,4138
81,61,83,79,60,81,55,54,76,76,0,87,71,72,88,83,88,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,4138
76,72,87,78,72,84,55,54,81,81,0,0,79,78,90,83,92,82,0,0,0,0,0,0,0,0,0,0,84,0,88,0,86,85,0,4138
71,68,77,71,69,78,39,39,72,74,0,0,71,71,90,75,92,73,0,0,0,0,0,0,0,0,0,0,84,0,88,0,86,93,82,4138
79,71,82,76,70,82,43,44,77,78,0,0,78,78,87,74,88,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,82,4138
74,75,82,74,75,82,42,42,82,83,0,0,78,78,87,74,88,74,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,4138
71,63,85,72,63,86,40,39,77,76,88,0,79,78,86,78,84,79,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,4138
69,69,83,70,69,83,39,39,74,74,88,0,67,67,81,74,82,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138
55,60,75,54,61,75,80,82,55,55,81,80,78,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
48,69,65,47,68,66,67,67,49,49,81,80,72,72,66,81,65,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
44,70,71,44,70,73,72,73,52,49,84,83,70,72,66,81,68,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
43,65,63,43,65,63,78,78,54,54,73,72,74,74,66,78,68,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
37,68,67,37,67,67,81,82,54,54,85,85,80,81,73,82,73,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
35,63,70,35,63,69,77,76,44,44,82,80,75,75,69,78,68,77,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
47,65,70,48,65,71,77,77,56,57,82,83,74,73,80,78,80,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
