@relation _tm450

@attribute 6c:aa:b3:3c:80:88 integer
@attribute 6c:aa:b3:7c:80:88 integer
@attribute 6c:aa:b3:3c:80:8c integer
@attribute 6c:aa:b3:39:f0:b8 integer
@attribute 6c:aa:b3:37:f5:68 integer
@attribute 6c:aa:b3:39:f0:bc integer
@attribute ea:f6:50:32:ef:a9 integer
@attribute 6c:aa:b3:7c:80:8c integer
@attribute 6c:aa:b3:79:f0:b8 integer
@attribute 6c:aa:b3:77:f5:68 integer
@attribute 6c:aa:b3:79:f0:bc integer
@attribute 6c:aa:b3:3c:33:a8 integer
@attribute 6c:aa:b3:3c:33:ac integer
@attribute 6c:aa:b3:7c:33:ac integer
@attribute 6c:aa:b3:7c:33:a8 integer
@attribute 6c:aa:b3:38:0d:a8 integer
@attribute 6c:aa:b3:38:0d:ac integer
@attribute 6c:aa:b3:78:0d:a8 integer
@attribute 6c:aa:b3:78:0d:ac integer
@attribute 84:18:3a:2c:06:58 integer
@attribute be:92:6b:8d:23:55 integer
@attribute 84:18:3a:6c:06:58 integer
@attribute 6c:aa:b3:39:7d:3c integer
@attribute 6c:aa:b3:39:7d:38 integer
@attribute 6c:aa:b3:79:7d:3c integer
@attribute 6c:aa:b3:79:7d:38 integer
@attribute 00:26:99:4f:e1:61 integer
@attribute 00:26:99:4f:e1:60 integer
@attribute 00:26:99:4f:db:11 integer
@attribute 00:26:99:4f:db:10 integer
@attribute 00:0b:3b:cb:ea:1c integer

@attribute ROOM {4141,4144,4142,4137,4143,4139,4138,}

@data

74,73,76,0,51,77,0,76,0,51,77,73,89,90,73,70,84,70,83,81,0,83,0,0,0,0,0,0,0,0,0,4144
56,56,69,83,50,77,0,68,0,50,77,73,87,89,78,70,0,70,0,74,0,75,0,0,0,0,0,0,0,0,0,4142
61,61,74,76,44,77,0,74,77,44,77,0,88,89,78,0,0,0,0,74,0,75,0,0,0,0,0,0,0,0,0,4142
68,69,75,79,59,82,0,75,79,59,83,83,88,89,84,0,0,0,0,71,0,72,0,0,0,0,0,0,0,0,0,4142
65,64,75,83,59,82,0,73,82,59,83,83,0,0,84,84,0,84,0,71,0,72,0,0,0,0,0,0,0,0,0,4142
77,76,75,74,51,77,0,73,74,51,76,80,0,0,80,84,0,84,0,83,0,83,0,0,0,0,0,0,0,0,0,4142
56,56,68,74,65,76,0,69,74,64,76,80,91,92,80,84,0,85,0,83,0,83,0,0,0,0,0,0,0,0,0,4142
56,56,81,77,68,84,0,79,77,67,83,0,91,92,0,84,0,85,0,81,0,81,0,0,0,0,0,0,0,0,0,4142
65,65,72,74,61,82,0,71,74,60,82,0,88,88,0,0,85,0,85,78,0,78,0,0,0,0,0,0,0,0,0,4142
76,71,76,86,49,78,0,77,84,49,78,0,84,85,85,88,85,85,85,82,0,84,0,0,0,0,0,0,0,0,0,4142
76,71,74,76,48,81,0,74,79,48,82,84,84,85,85,88,0,85,0,77,0,75,0,0,0,0,0,0,0,0,0,4142
71,72,68,74,43,81,0,68,76,42,82,76,85,85,75,0,0,0,0,74,0,72,0,0,0,0,0,0,0,0,0,4142
54,54,55,62,61,69,0,56,61,60,69,79,78,79,78,69,70,70,71,69,0,70,0,88,0,87,0,0,0,0,0,4137
46,45,51,53,63,69,0,50,53,64,69,71,82,79,70,0,0,0,0,77,0,77,0,0,0,0,0,0,0,0,0,4137
42,42,51,60,75,76,0,50,60,75,76,73,93,92,74,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
45,45,54,66,68,76,0,54,64,68,76,82,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
58,58,60,56,62,72,0,61,55,62,73,79,0,0,79,82,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
58,45,61,68,60,81,0,62,67,60,82,81,0,0,81,82,0,82,0,83,0,83,0,0,0,0,0,0,0,0,0,4137
51,51,64,69,74,83,0,64,68,74,83,81,0,0,81,0,0,0,0,83,0,83,0,0,0,0,0,0,0,0,0,4137
51,65,69,73,74,77,0,68,73,74,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
57,55,70,70,58,83,0,70,69,57,83,82,0,0,81,0,0,0,0,75,0,75,0,0,0,0,0,0,0,0,0,4137
