@relation _tm450

@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 6c:aa:b3:b9:e1:a8 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute e8:fc:af:88:91:78 integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 02:23:08:60:36:48 integer
@attribute 84:18:3a:2b:f2:e8 integer
@attribute 6c:aa:b3:13:23:f8 integer
@attribute 6c:aa:b3:53:23:f8 integer
@attribute 56:5a:04:09:26:9a integer
@attribute 34:31:c4:0a:ea:d2 integer
@attribute 64:66:b3:78:82:8b integer
@attribute 84:18:3a:29:04:58 integer
@attribute 64:66:b3:78:82:8a integer
@attribute 84:18:3a:69:04:58 integer
@attribute 34:31:c4:eb:da:d2 integer
@attribute 08:96:d7:b2:5f:c8 integer
@attribute 34:81:c4:da:84:ba integer
@attribute 08:96:d7:04:e1:fa integer
@attribute 12:a0:96:f6:ec:b3 integer
@attribute 6c:aa:b3:37:90:dc integer
@attribute 6c:aa:b3:77:90:dc integer
@attribute 84:18:3a:69:0e:08 integer
@attribute c0:25:06:83:b3:df integer

@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data

73,73,77,76,60,55,55,63,51,0,74,50,0,76,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,76,0,0,2151
59,58,84,83,77,54,54,77,53,79,71,53,79,71,84,77,81,0,0,0,0,0,0,0,0,0,0,0,0,84,85,0,0,0,93,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,76,0,0,2151
70,72,88,88,73,50,49,74,55,79,71,55,78,71,84,77,81,0,0,0,0,0,0,0,81,0,0,0,0,70,71,79,0,0,93,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,79,78,0,0,2152
71,72,88,88,73,52,52,74,59,0,68,59,78,69,81,81,81,83,0,0,87,0,87,0,83,84,86,0,84,77,72,79,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,77,0,0,2151
69,70,85,85,76,45,45,76,50,80,72,51,79,77,78,77,81,83,0,0,95,0,82,0,83,84,86,0,84,77,72,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,0,0,2151
69,69,89,89,76,46,48,76,43,74,72,44,74,77,78,77,0,0,0,0,95,86,82,0,84,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,81,81,0,0,2151
63,64,84,84,74,45,46,74,50,79,73,50,78,0,0,81,85,85,0,0,80,86,79,0,84,81,82,85,81,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,81,81,0,0,2151
70,71,84,84,75,45,46,75,50,77,76,50,76,77,0,81,85,85,0,0,79,85,78,0,83,81,82,85,81,84,81,83,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,77,0,0,2151
67,67,88,89,74,42,42,73,46,75,76,45,76,77,0,72,0,0,81,0,79,85,78,0,83,0,0,85,0,84,81,83,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,77,0,0,2151
69,71,86,85,64,42,42,63,54,78,74,53,75,74,68,71,0,0,79,0,85,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,0,0,2151
75,74,86,85,64,47,47,63,48,68,74,48,67,74,70,70,86,0,79,0,79,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,83,83,0,0,2151
