@relation _tm450

@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 34:31:c4:0a:ea:d2 integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute 64:66:b3:78:82:8b integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute e8:fc:af:88:91:78 integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 02:23:08:60:36:48 integer
@attribute 84:18:3a:29:04:58 integer
@attribute 64:66:b3:78:82:8a integer
@attribute 84:18:3a:69:04:58 integer
@attribute 34:31:c4:eb:da:d2 integer
@attribute 08:96:d7:b2:5f:c8 integer
@attribute 34:81:c4:da:84:ba integer

@attribute ROOM {2151,2152,2153,2124,2130,2131,2123,}

@data

0,63,81,0,0,50,0,82,64,0,51,43,64,43,64,72,73,75,86,0,76,85,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
76,68,84,0,0,55,75,84,69,0,55,42,69,40,69,72,75,76,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
76,85,84,0,0,44,75,84,83,0,43,39,61,39,61,76,74,67,80,0,65,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,68,83,0,0,52,0,84,69,0,51,40,68,40,69,70,70,62,84,0,62,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
0,66,86,0,0,60,0,86,66,0,60,40,62,40,63,65,64,63,79,0,63,78,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
82,73,85,0,0,55,81,84,73,0,56,35,60,34,59,68,68,62,75,0,62,77,79,79,0,0,0,0,0,74,75,83,77,0,0,0,0,0,0,0,0,0,2152
68,61,75,81,82,63,67,75,60,81,63,45,60,44,59,64,63,75,75,0,72,77,0,0,0,92,92,93,0,86,75,83,77,0,0,0,0,0,0,0,0,0,2152
80,74,75,81,82,51,80,75,75,81,52,40,64,39,64,62,64,54,75,0,55,76,83,80,85,92,92,93,0,86,0,0,0,86,0,0,0,0,0,0,0,0,2152
80,65,76,83,83,59,71,76,67,82,58,34,74,34,73,62,64,58,75,0,54,76,83,80,85,0,0,0,0,77,0,0,0,86,79,0,0,0,0,0,0,0,2152
0,69,82,83,83,58,71,81,69,82,58,43,74,44,73,64,62,69,0,0,68,0,0,0,0,0,0,0,0,77,0,0,0,0,79,0,0,0,0,0,0,0,2152
73,69,88,0,0,58,76,88,69,0,59,37,74,37,73,65,65,68,73,0,63,72,0,0,0,0,0,0,0,0,75,0,78,0,0,87,0,0,0,0,0,0,2152
