@relation _tm450

@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute e8:fc:af:88:91:78 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 02:23:08:60:36:48 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute 84:18:3a:2b:f2:e8 integer
@attribute 6c:aa:b3:13:23:f8 integer
@attribute 6c:aa:b3:53:23:f8 integer
@attribute 56:5a:04:09:26:9a integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute 34:31:c4:0a:ea:d2 integer
@attribute 64:66:b3:78:82:8b integer
@attribute 6c:aa:b3:37:90:dc integer
@attribute 6c:aa:b3:77:90:dc integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 6c:aa:b3:b9:e1:a8 integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 12:a0:96:f6:ec:b3 integer
@attribute 34:31:c4:eb:da:d2 integer
@attribute 64:66:b3:78:82:8a integer
@attribute c0:25:06:83:b3:df integer
@attribute 08:96:d7:b2:5f:c8 integer

@attribute ROOM {2151,2152,2153,2131,2130,2123,2124,}

@data

55,51,73,60,77,55,50,73,63,76,0,74,0,76,80,0,0,80,0,0,0,90,90,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,76,0,0,0,0,0,0,0,0,0,0,2151
54,53,59,77,84,54,53,58,77,83,79,71,79,71,84,0,0,77,0,85,0,0,0,93,0,0,0,0,0,0,84,81,0,0,0,0,0,75,0,75,76,0,0,0,0,0,0,0,0,0,0,2151
50,55,70,73,88,49,55,72,74,88,78,71,79,71,84,79,0,77,0,71,0,0,0,93,0,0,0,0,0,81,70,81,0,0,0,0,0,75,0,79,78,0,0,0,0,0,0,0,0,0,0,2152
52,59,71,73,88,52,59,72,74,88,78,68,0,69,81,79,87,81,87,72,0,0,0,0,0,0,84,0,0,83,77,81,0,0,0,0,83,0,0,78,77,84,86,84,0,0,0,0,0,0,0,2151
45,50,69,76,85,45,51,70,76,85,79,72,80,77,78,0,95,77,82,72,0,0,0,0,0,0,84,0,0,83,77,81,0,0,0,0,83,0,0,74,74,84,86,84,0,0,0,0,0,0,0,2151
46,43,69,76,89,48,44,69,76,89,74,72,74,77,78,0,95,77,82,0,0,0,0,0,85,0,0,0,86,84,0,0,0,0,0,0,0,86,0,81,81,0,0,0,0,0,0,0,0,0,0,2151
45,50,63,74,84,46,50,64,74,84,78,73,79,0,0,0,80,81,79,0,0,0,0,0,85,0,0,0,86,84,0,85,0,0,0,0,85,86,0,81,81,81,82,81,0,0,0,0,0,0,0,2151
45,50,70,75,84,46,50,71,75,84,76,76,77,77,0,83,79,81,78,81,0,0,0,0,85,0,82,0,85,83,84,85,0,0,0,0,85,0,0,80,77,81,82,81,0,0,0,0,0,0,0,2151
42,46,67,74,88,42,45,67,73,89,76,76,75,77,0,83,79,72,78,81,81,0,0,0,85,0,82,0,85,83,84,0,0,0,0,0,0,0,0,80,77,0,0,0,0,0,0,0,0,0,0,2151
42,54,69,64,86,42,53,71,63,85,75,74,78,74,68,0,85,71,78,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,0,0,0,2151
47,48,75,64,86,47,48,74,63,85,67,74,68,74,70,0,79,70,79,0,79,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,80,0,83,83,0,0,0,0,0,0,0,0,0,0,2151
44,59,70,72,83,44,60,71,72,82,72,0,71,74,73,0,79,70,79,88,0,0,0,0,0,0,0,0,0,0,87,86,0,0,0,0,0,80,0,83,83,0,0,0,0,0,0,0,0,0,0,2151
53,49,62,72,78,54,50,64,73,79,76,65,75,64,76,0,80,74,81,88,0,91,91,90,75,0,0,0,76,76,86,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,2151
53,52,67,72,78,53,52,67,73,79,69,72,69,70,80,0,80,80,81,87,0,91,90,91,75,0,0,0,76,76,86,0,0,0,0,0,0,0,0,70,70,85,86,86,0,0,0,0,0,0,0,2151
42,46,64,69,83,42,47,66,69,83,67,80,68,70,66,0,86,67,82,84,0,91,90,91,0,0,0,0,0,0,0,83,0,0,0,0,84,0,0,83,83,85,86,86,0,0,0,0,0,0,0,2151
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
43,63,83,59,89,43,63,83,62,90,68,84,67,0,71,0,88,71,86,90,82,0,0,0,0,86,0,88,0,0,87,0,0,0,0,0,0,88,0,85,85,0,0,0,0,0,0,0,0,0,0,2152
42,59,73,70,84,43,59,72,69,85,67,73,68,72,76,0,84,75,82,90,82,0,0,0,0,86,0,87,0,0,87,90,0,0,0,0,0,85,0,76,77,0,0,0,0,0,0,0,0,0,0,2152
41,53,70,69,89,41,53,69,68,90,58,73,59,77,63,0,80,64,81,0,0,0,0,0,0,0,87,87,0,0,0,90,0,0,0,0,0,85,0,84,83,0,0,0,0,0,0,0,0,0,0,2152
42,48,67,69,89,42,49,67,68,90,57,0,58,77,61,0,71,62,71,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,78,0,84,83,0,0,0,0,0,0,0,0,0,0,2152
43,49,68,68,85,43,49,68,68,85,60,0,61,76,61,0,70,60,71,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,78,0,81,81,0,0,0,0,0,0,0,0,0,0,2152
42,48,67,68,85,43,49,68,68,85,59,0,58,76,60,0,70,61,70,86,82,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,78,0,81,81,0,0,0,0,0,0,0,0,0,0,2152
45,49,66,70,84,45,49,67,70,85,57,0,56,0,61,0,71,61,71,85,82,0,0,0,0,82,0,0,0,0,85,0,0,0,0,0,0,80,0,83,83,0,0,0,0,0,0,0,0,0,0,2152
45,54,67,70,81,45,54,67,71,81,64,76,63,77,65,0,78,67,81,85,85,0,0,0,0,83,0,0,0,0,85,0,0,0,0,0,88,80,0,76,77,0,0,0,0,0,0,0,0,0,0,2152
42,55,63,74,82,40,54,63,74,82,71,70,70,69,74,0,82,74,85,84,85,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,88,80,0,74,74,0,0,0,0,0,0,0,0,0,0,2152
38,48,77,64,86,37,48,77,64,85,62,70,62,69,70,0,77,69,77,84,83,0,0,0,0,79,80,0,0,0,0,0,0,0,0,0,0,79,0,85,85,0,0,0,0,0,0,0,0,0,0,2152
41,51,70,63,86,41,50,73,65,85,56,73,56,73,72,0,78,73,77,0,83,0,0,0,0,79,80,0,86,84,87,0,0,0,0,0,0,79,0,85,85,0,0,0,0,0,0,0,0,0,0,2152
40,50,71,64,85,40,51,73,64,84,58,74,58,75,72,0,79,72,78,86,0,0,0,0,0,0,0,0,86,84,88,0,0,0,0,0,0,0,0,87,87,0,0,0,0,0,0,0,0,0,0,2152
39,49,71,64,85,39,50,74,65,85,59,74,58,76,73,0,80,73,80,88,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,87,86,0,0,0,0,0,0,0,0,0,0,2152
36,66,72,69,83,36,67,72,69,82,55,76,55,76,66,0,80,66,80,88,0,0,0,0,0,0,80,0,0,0,88,0,0,0,0,0,0,86,0,82,82,0,0,0,0,0,0,0,0,0,0,2152
35,52,72,69,91,35,53,72,70,90,56,76,55,76,74,0,77,64,76,0,75,0,0,0,0,75,74,0,0,0,0,0,0,0,0,0,0,74,0,80,80,0,0,0,85,84,0,0,0,0,0,2152
43,53,74,66,91,42,54,73,68,90,64,0,64,0,68,0,77,78,78,80,75,90,89,90,0,75,77,0,0,0,79,0,0,0,0,0,0,82,83,78,79,0,0,0,85,84,0,0,0,0,0,2152
53,42,75,66,88,52,42,74,68,88,82,0,0,0,0,0,70,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,79,0,0,0,0,0,0,0,0,0,0,2153
46,66,78,73,77,46,66,77,73,77,76,72,77,74,71,0,84,70,84,0,0,86,86,85,86,0,0,0,87,86,0,85,0,0,0,0,92,81,91,68,67,87,87,88,0,0,0,0,0,0,0,2153
56,53,85,73,89,56,54,85,73,90,82,72,81,74,76,0,73,76,74,0,72,0,0,0,86,72,0,0,87,86,0,88,0,0,0,0,90,0,0,68,67,0,0,0,0,0,0,0,0,0,0,2153
50,56,73,72,81,50,57,71,71,82,75,0,76,0,78,0,80,78,78,0,73,0,0,0,0,72,0,76,0,0,0,88,0,0,0,0,90,0,0,79,79,0,0,0,0,0,0,0,0,0,0,2153
37,55,76,62,88,37,57,76,65,89,84,70,75,69,75,0,84,74,86,0,0,0,0,0,90,0,76,77,90,0,0,0,0,0,0,0,0,0,87,85,85,0,0,0,0,0,0,0,0,0,0,2153
40,51,64,62,92,41,51,63,65,91,84,68,72,69,75,0,84,77,75,0,0,0,0,0,0,79,83,81,0,0,84,0,0,0,0,0,0,0,87,78,78,0,0,0,0,0,0,0,0,0,0,2153
49,57,65,0,75,49,57,65,0,75,75,59,76,59,71,0,76,73,77,0,0,88,91,88,0,79,83,81,0,0,84,0,0,0,0,0,0,76,0,76,76,82,83,84,0,0,0,0,0,0,0,2153
43,54,67,74,82,43,55,67,74,82,78,64,76,59,63,0,79,73,79,0,0,88,91,88,0,0,0,88,0,0,82,0,0,0,0,0,0,83,88,77,76,82,83,84,0,0,0,0,0,0,0,2153
44,58,67,75,82,44,57,67,75,82,75,66,75,65,63,0,81,0,79,86,0,0,0,0,0,0,0,88,0,0,82,0,0,0,0,0,0,80,87,77,76,0,0,0,0,0,0,0,0,0,0,2153
43,56,67,75,82,43,56,67,75,82,74,66,73,65,65,0,81,65,82,82,75,0,0,0,0,74,80,76,0,0,84,0,0,0,0,0,0,70,87,79,80,0,0,0,0,0,0,0,0,0,0,2153
44,56,66,75,82,44,55,65,75,82,74,64,74,0,65,0,81,65,80,82,75,0,0,0,0,74,80,76,0,0,84,0,0,0,0,0,0,70,87,76,76,0,0,0,0,0,82,0,0,0,0,2153
43,54,66,74,82,44,55,67,75,82,73,61,74,0,0,0,82,0,80,78,0,0,0,0,0,0,0,77,0,0,0,83,0,0,0,0,0,0,87,77,77,91,0,90,0,0,82,0,0,0,0,2153
41,56,73,75,84,41,56,73,76,84,75,61,77,0,0,0,82,0,80,78,0,0,0,0,0,0,0,77,0,0,82,77,0,0,0,0,77,78,85,87,88,91,0,90,0,0,0,0,0,0,0,2153
41,52,64,75,84,42,53,64,76,84,75,72,79,0,0,0,74,0,74,0,73,0,0,0,0,0,0,77,0,0,82,83,0,0,0,0,85,78,87,82,82,0,0,0,0,0,0,0,0,0,0,2153
39,53,71,71,82,39,53,70,70,82,81,74,80,81,0,0,79,0,80,79,0,0,0,0,0,0,75,80,0,0,77,84,0,0,0,0,84,0,88,83,83,0,0,0,0,0,0,0,0,0,0,2153
60,74,0,74,0,60,73,0,74,0,86,0,88,0,81,0,0,81,0,0,0,0,0,0,0,0,77,73,0,0,0,0,0,0,0,0,0,76,0,90,89,0,0,0,0,0,0,0,91,0,0,2124
59,70,0,79,0,59,71,0,82,0,86,0,88,0,83,0,0,84,0,0,0,0,0,0,0,0,77,76,0,0,0,0,0,0,0,0,88,76,0,93,93,0,0,0,0,0,0,0,91,0,0,2124
58,66,0,88,0,58,66,0,88,0,79,0,77,0,80,78,0,78,0,0,0,0,0,0,0,0,0,72,0,0,85,0,0,0,0,0,82,0,0,93,93,0,0,0,0,0,0,75,0,0,0,2124
52,72,0,85,0,52,72,0,86,0,79,0,77,0,80,76,0,78,0,75,0,0,0,0,0,0,0,72,0,0,75,0,0,0,0,0,83,80,0,0,0,0,0,0,0,0,0,75,0,0,0,2124
56,69,0,79,0,56,69,0,79,0,0,0,0,0,73,76,0,75,0,86,0,0,0,0,0,0,0,77,0,0,75,78,0,0,0,0,79,81,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
52,69,0,84,0,51,71,0,84,0,78,0,77,0,80,0,0,80,0,86,0,0,0,0,0,0,0,76,0,0,0,78,0,0,0,0,79,81,0,0,0,0,0,0,0,0,0,85,0,0,0,2124
55,70,87,85,0,56,69,85,85,0,83,0,82,0,73,77,77,73,79,78,0,0,0,0,0,0,0,80,0,0,81,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,85,0,0,0,2124
55,64,0,70,0,55,64,0,70,0,0,0,0,0,85,0,0,83,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,74,0,0,0,2124
47,70,84,81,0,47,76,86,81,0,80,0,82,0,72,81,0,74,0,80,0,0,0,0,0,0,80,80,0,0,79,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
46,76,84,81,0,47,74,88,81,0,78,0,79,0,75,77,0,75,0,80,0,0,0,0,0,0,77,80,0,0,79,83,0,0,0,0,84,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
45,78,82,82,0,45,79,80,80,0,81,0,81,0,69,77,0,73,0,81,0,0,0,0,0,0,79,80,0,0,80,83,0,0,0,0,84,0,87,0,0,0,0,0,0,0,0,0,0,0,0,2124
42,60,83,83,0,42,62,83,84,0,65,0,65,0,71,0,0,75,0,81,0,0,0,0,0,0,84,0,0,0,80,0,0,0,0,0,81,81,87,87,88,0,0,0,0,0,0,0,0,0,0,2124
52,76,84,83,0,47,78,86,84,0,76,0,77,0,70,0,0,70,0,85,0,0,0,0,0,0,84,0,0,0,83,0,0,0,0,0,85,82,84,87,88,0,0,0,0,0,0,0,86,0,0,2124
41,72,88,74,0,42,70,86,75,0,69,0,70,0,63,80,0,63,0,80,0,0,0,0,0,0,69,0,0,0,83,72,0,0,0,0,83,81,77,0,92,0,0,0,0,0,0,0,89,0,0,2124
45,67,78,83,0,45,68,78,84,0,75,74,77,75,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,88,0,0,0,0,0,0,0,0,85,91,0,0,0,0,0,0,0,0,0,0,2123
51,71,84,83,0,51,73,84,84,0,81,0,80,0,74,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,88,84,0,0,0,0,0,0,90,0,91,0,0,0,0,0,0,0,0,0,0,2123
46,76,84,85,0,46,77,84,86,0,82,0,81,0,71,0,0,70,0,0,0,0,0,0,0,0,88,0,0,0,0,84,0,0,0,0,83,0,90,93,92,0,0,0,0,0,0,0,0,0,0,2123
53,67,0,84,0,48,68,0,86,0,77,0,77,0,78,0,0,70,0,0,0,0,0,0,0,0,88,0,0,0,0,84,0,0,0,0,83,77,0,93,92,0,0,0,0,0,0,0,0,0,0,2123
55,64,80,83,0,56,65,80,85,0,79,0,80,0,76,0,0,76,0,85,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,84,77,0,82,83,0,0,0,0,0,0,0,0,0,0,2123
55,75,80,89,0,55,75,80,89,0,79,0,80,0,79,0,0,80,0,85,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,84,0,0,82,83,0,0,0,0,0,0,0,0,0,0,2123
54,79,80,89,0,53,80,80,89,0,85,0,85,0,79,0,0,80,0,82,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
49,72,81,85,0,49,72,83,85,0,73,0,75,0,78,0,0,79,0,87,0,0,0,0,0,0,83,83,0,0,83,81,0,0,0,0,0,78,0,90,91,0,0,0,0,0,0,0,0,0,0,2123
53,65,79,87,0,54,65,78,86,0,73,0,75,0,78,0,0,79,0,87,0,0,0,0,0,0,83,83,0,0,84,81,0,0,0,0,86,78,0,90,91,0,0,0,0,0,0,0,0,0,0,2123
