@relation _tm450

@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute e8:fc:af:88:91:78 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 84:18:3a:2b:f2:e8 integer
@attribute 6c:aa:b3:13:23:f8 integer
@attribute 6c:aa:b3:53:23:f8 integer
@attribute 56:5a:04:09:26:9a integer
@attribute 02:23:08:60:36:48 integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute 34:31:c4:0a:ea:d2 integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 64:66:b3:78:82:8b integer

@attribute ROOM {2151,2152,2153,2131,2130,2123,2124,}

@data

81,82,75,77,79,59,79,58,58,58,70,69,58,84,59,80,81,81,78,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
84,85,0,0,76,47,77,48,49,48,82,81,72,75,72,81,74,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
82,82,65,67,74,42,73,43,60,60,70,72,66,68,66,79,69,79,82,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
81,81,68,69,74,47,73,48,50,51,71,70,70,73,70,77,73,78,80,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
90,89,73,73,68,40,67,41,53,53,71,70,75,70,75,77,76,73,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
82,82,68,68,63,40,64,41,49,50,72,72,68,74,67,77,71,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
82,82,69,68,63,39,63,38,50,50,71,73,68,73,69,75,76,76,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
85,85,71,70,70,38,70,39,51,52,79,80,67,71,68,75,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
83,83,78,80,70,41,69,42,59,59,79,80,56,72,58,75,72,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
83,83,78,78,69,41,70,41,60,60,0,0,53,62,53,81,64,79,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
86,86,0,78,75,35,74,35,62,59,65,65,60,64,60,75,64,77,81,81,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
