@relation _tm450

@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute 84:18:3a:29:04:58 integer
@attribute e8:fc:af:88:91:78 integer
@attribute 84:18:3a:69:04:58 integer
@attribute 02:23:08:60:36:48 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 34:31:c4:0a:ea:d2 integer
@attribute 64:66:b3:78:82:8b integer
@attribute 64:66:b3:78:82:8a integer
@attribute 08:96:d7:04:e1:fa integer
@attribute 12:a0:96:f6:ec:b3 integer

@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data

85,85,72,75,72,74,39,43,75,66,39,43,76,67,74,75,75,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
88,86,72,79,74,76,43,49,64,0,43,51,64,77,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
85,84,76,74,76,74,53,61,63,68,53,62,63,68,78,77,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
85,84,76,61,76,61,43,52,70,68,43,51,70,68,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
73,73,64,67,64,68,53,63,74,77,54,62,74,78,78,0,0,0,87,0,74,79,88,88,87,75,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
77,76,70,68,70,69,57,55,75,77,57,56,75,78,74,79,0,0,87,0,74,79,88,88,87,75,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
88,88,70,78,70,80,44,47,72,71,44,48,72,73,66,66,0,0,78,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
78,77,69,68,68,67,49,56,75,76,49,57,74,77,75,66,0,0,82,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
73,74,63,61,68,61,48,59,73,80,48,60,74,80,75,0,0,0,82,83,0,0,0,0,0,0,0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,2151
85,86,76,74,77,76,41,56,68,77,42,56,68,78,61,62,80,0,82,83,0,0,0,0,0,0,0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,2151
77,77,65,71,66,76,50,60,76,82,50,60,73,83,71,62,80,0,0,0,0,0,88,88,0,0,87,0,0,84,91,85,0,0,0,0,0,0,0,0,0,2151
77,77,67,66,65,68,50,58,75,82,50,58,74,83,69,0,0,0,0,0,0,0,90,89,0,78,89,0,0,84,91,85,0,0,0,0,0,0,0,0,0,2151
87,88,67,71,65,72,48,49,74,73,50,49,73,72,69,0,0,0,81,83,0,0,90,89,0,78,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
87,88,70,76,69,76,43,57,73,81,44,56,74,81,77,77,0,0,81,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
84,85,75,76,77,74,41,58,65,61,41,59,65,62,61,64,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
83,84,76,71,75,71,23,53,64,65,23,53,63,64,59,61,0,0,80,70,0,0,0,0,0,0,0,0,0,0,0,0,84,86,84,0,0,0,0,0,0,2152
92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
