@relation _tm450

@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:37:90:dc integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:77:90:dc integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute 34:31:c4:0a:ea:d2 integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute e8:fc:af:88:91:78 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 6c:aa:b3:b9:e1:a8 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 02:23:08:60:36:48 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 64:66:b3:78:82:8b integer
@attribute 12:a0:96:f6:ec:b3 integer
@attribute 34:31:c4:eb:da:d2 integer
@attribute 64:66:b3:78:82:8a integer
@attribute c0:25:06:83:b3:df integer
@attribute 08:96:d7:b2:5f:c8 integer

@attribute ROOM {2151,2152,2153,2123,2124,2131,2130,}

@data

55,51,73,74,75,80,77,55,50,73,76,76,80,76,60,90,90,63,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
54,53,59,71,75,84,84,54,53,58,76,71,77,83,77,0,0,77,93,75,79,81,84,79,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
50,55,70,71,79,84,88,49,55,72,78,71,77,88,73,0,0,74,93,75,79,81,70,78,71,79,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
52,59,71,68,78,81,88,52,59,72,77,69,81,88,73,0,0,74,0,0,0,81,77,78,72,79,83,84,84,86,87,83,84,87,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
45,50,69,72,74,78,85,45,51,70,74,77,77,85,76,0,0,76,0,0,80,81,77,79,72,0,83,84,84,86,95,83,84,82,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
46,43,69,72,81,78,89,48,44,69,81,77,77,89,76,0,0,76,0,86,74,0,0,74,0,0,84,0,0,0,95,0,0,82,86,85,0,0,0,0,0,0,0,0,0,0,0,2151
45,50,63,73,81,0,84,46,50,64,81,0,81,84,74,0,0,74,0,86,79,85,0,78,0,0,84,0,81,82,80,85,81,79,86,85,0,0,0,0,0,0,0,0,0,0,0,2151
45,50,70,76,80,0,84,46,50,71,77,77,81,84,75,0,0,75,0,0,77,85,84,76,81,83,83,82,81,82,79,85,81,78,85,85,0,0,0,0,0,0,0,0,0,0,0,2151
42,46,67,76,80,0,88,42,45,67,77,77,72,89,74,0,0,73,0,0,75,0,84,76,81,83,83,82,0,0,79,0,0,78,85,85,81,0,0,0,0,0,0,0,0,0,0,2151
42,54,69,74,82,68,86,42,53,71,82,74,71,85,64,0,0,63,0,0,78,0,0,75,0,0,0,0,0,0,85,0,0,78,0,0,79,0,0,0,0,0,0,0,0,0,0,2151
47,48,75,74,83,70,86,47,48,74,83,74,70,85,64,0,0,63,0,80,68,86,0,67,0,0,0,0,0,0,79,0,0,79,0,0,79,0,0,0,0,0,0,0,0,0,0,2151
