@relation _tm450

@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 84:18:3a:29:05:3c integer
@attribute 84:18:3a:69:05:3c integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:39:e1:a8 integer

@attribute ROOM {4038,4039,4040,4041,}

@data

49,77,40,50,79,43,0,0,66,74,67,75,0,0,0,0,0,0,0,0,0,0,4038
43,74,49,43,76,50,0,0,71,71,72,69,0,0,0,0,0,0,0,0,0,0,4038
52,74,47,52,76,46,0,0,70,70,70,71,0,0,0,95,0,0,0,0,0,0,4038
49,80,44,49,80,43,0,0,72,72,74,73,78,78,0,95,0,0,0,0,0,0,4038
48,79,45,49,78,45,0,0,76,72,76,72,0,0,0,0,0,0,0,0,0,0,4038
43,82,47,44,81,48,0,0,73,72,72,72,0,0,0,0,0,0,0,0,0,0,4038
49,78,48,49,77,48,0,0,76,70,75,70,0,0,0,0,0,0,0,0,0,0,4039
46,76,46,47,75,46,0,0,73,69,72,69,0,0,0,0,0,0,0,0,0,0,4039
49,76,50,48,76,50,0,0,73,68,75,68,0,0,86,0,0,87,0,0,0,0,4039
46,75,50,46,74,50,0,0,0,67,75,67,0,78,86,0,0,87,0,0,0,0,4039
47,75,48,47,74,50,0,0,77,67,77,69,80,78,0,0,0,0,0,0,0,0,4039
45,73,50,45,80,50,0,0,77,68,75,68,80,78,0,0,0,0,0,0,0,0,4039
42,73,60,43,70,59,0,0,82,68,80,67,73,80,0,0,0,0,0,0,0,0,4040
42,72,63,42,73,61,0,0,84,69,85,69,75,77,0,0,0,0,0,0,0,0,4040
44,64,52,47,64,52,0,0,73,73,72,75,77,78,0,0,0,0,90,0,0,0,4040
44,66,48,43,65,49,0,0,78,72,78,74,78,77,0,0,0,0,90,0,0,0,4040
40,61,52,40,62,52,0,0,72,67,72,66,79,80,0,0,0,0,0,0,0,0,4040
35,54,62,35,55,63,0,0,67,71,68,70,78,77,0,0,0,0,0,0,81,0,4041
35,63,49,35,63,49,0,0,79,65,81,65,81,81,0,0,0,0,0,0,81,0,4041
34,62,53,37,61,54,0,0,79,65,79,65,78,78,0,0,0,0,0,0,0,0,4041
24,61,63,25,60,62,0,0,79,75,79,75,75,74,0,0,0,0,0,82,83,0,4041
35,52,53,35,52,53,0,0,85,73,85,74,82,79,0,0,0,0,78,81,81,0,4041
35,55,54,36,55,54,0,0,86,73,85,78,82,79,0,0,0,0,79,80,81,0,4041
34,56,57,35,56,58,0,0,86,72,85,72,0,0,0,0,0,0,85,85,85,0,4041
35,59,58,35,60,59,0,0,86,70,0,71,78,77,0,0,0,0,80,80,79,0,4041
33,56,56,34,57,56,0,0,87,70,87,71,78,77,0,0,0,0,80,80,79,0,4041
35,53,56,35,54,53,0,0,87,0,87,0,0,0,0,0,0,0,0,0,0,0,4041
48,75,48,48,76,49,81,81,80,71,79,71,72,74,83,91,0,0,0,0,0,0,4038
64,0,56,63,0,54,83,84,74,71,75,71,72,74,0,85,84,0,0,0,0,0,4038
54,79,52,54,82,52,78,78,78,79,79,78,0,0,0,85,84,0,0,0,0,0,4038
55,79,52,57,83,52,84,84,76,79,77,78,0,0,88,0,0,0,0,0,0,0,4038
49,77,56,49,77,56,85,84,76,0,77,0,0,0,88,0,0,0,0,0,0,0,4038
49,80,56,49,78,56,88,89,74,83,75,84,79,78,0,92,92,0,0,0,0,0,4038
58,80,49,57,78,49,83,83,81,86,80,85,79,78,0,85,85,0,0,0,0,0,4038
57,0,47,58,0,46,88,87,71,84,71,81,0,0,83,83,82,85,0,0,0,0,4038
49,0,52,50,85,52,76,76,74,85,75,86,79,81,83,83,82,85,0,0,0,0,4038
61,78,58,60,77,58,82,81,80,76,80,77,79,81,0,0,0,0,0,0,0,0,4039
53,78,53,53,79,53,81,82,80,76,80,77,82,82,90,0,0,88,0,0,0,0,4039
48,78,59,48,79,58,80,79,83,83,83,81,82,82,90,91,92,88,0,0,0,0,4039
55,75,55,54,76,55,83,83,85,83,83,81,0,0,0,91,92,0,0,0,0,0,4039
52,73,53,52,75,54,78,78,85,80,73,79,0,0,0,0,0,0,0,0,0,0,4039
41,73,67,41,72,68,78,78,0,76,73,76,0,0,0,0,0,0,0,0,0,0,4040
53,65,57,53,67,57,79,79,77,77,77,79,79,78,0,0,0,0,0,0,0,0,4040
47,73,63,47,67,62,82,82,82,83,82,82,79,78,0,0,0,0,0,0,0,0,4040
51,73,56,52,73,56,89,92,82,83,82,82,0,0,0,0,0,0,0,0,0,0,4040
46,77,52,46,74,52,78,77,77,0,76,0,81,80,0,0,0,0,0,0,0,0,4040
53,78,68,52,79,68,89,89,80,82,80,85,81,80,0,0,0,0,0,0,0,0,4040
45,66,64,45,74,64,75,74,80,82,80,85,74,74,83,0,0,83,0,0,0,0,4040
35,0,61,35,0,61,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
37,75,56,36,64,56,75,75,0,73,0,75,0,0,83,0,0,80,0,0,0,0,4041
47,75,54,47,70,54,81,79,83,80,81,80,0,0,83,0,0,80,0,0,0,0,4041
35,54,65,35,55,65,70,71,83,70,81,70,0,0,85,0,0,0,0,0,0,0,4041
36,54,52,37,54,52,76,77,85,74,84,73,78,76,85,0,0,84,0,0,0,0,4041
26,57,59,26,58,59,83,84,85,75,84,75,78,76,0,0,0,84,86,88,86,0,4041
36,53,59,35,53,59,87,86,0,73,0,75,0,0,0,0,0,0,86,88,86,0,4041
43,79,52,43,79,53,0,0,73,78,72,78,80,78,0,0,0,0,0,0,0,0,4038
50,77,47,50,77,48,0,0,69,71,70,72,80,78,0,0,0,0,0,0,0,90,4038
