@relation _tm450

@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 84:18:3a:29:05:3c integer
@attribute 84:18:3a:69:05:3c integer
@attribute 84:18:3a:29:05:38 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 84:18:3a:2c:55:88 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer

@attribute ROOM {4007,4006,4023,4005,4022,4040,4039,4038,4041,}

@data

57,62,69,57,62,69,85,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4007
51,66,72,51,66,73,0,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,4007
49,68,72,48,67,71,86,88,88,88,0,0,0,0,0,0,0,0,0,0,0,0,4007
46,63,73,46,61,72,86,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4007
44,64,78,45,64,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4007
58,59,77,58,59,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006
59,66,73,59,67,74,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,4006
54,65,74,54,65,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006
53,54,73,53,55,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006
49,55,73,49,55,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006
59,60,77,58,60,78,82,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023
58,57,77,59,58,78,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023
59,59,80,59,59,80,85,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023
60,62,80,60,62,80,85,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023
53,55,79,52,55,80,0,85,0,0,84,84,0,0,0,0,0,0,0,0,0,0,4023
70,56,80,69,57,81,70,71,89,88,79,80,78,0,0,0,0,0,0,0,0,0,4005
63,73,0,64,70,0,83,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005
64,60,0,64,61,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005
60,56,81,61,56,80,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005
64,51,81,64,52,80,82,82,89,90,0,0,0,0,0,0,0,0,0,0,0,0,4005
58,53,0,58,53,0,80,80,89,90,0,0,0,0,0,0,0,0,0,0,0,0,4005
46,67,75,47,67,75,84,85,76,77,0,0,84,0,0,0,0,0,0,0,0,0,4022
50,62,81,49,62,80,84,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4022
52,65,77,52,64,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4022
50,63,79,50,64,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4022
48,64,81,47,64,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4022
46,58,69,46,58,70,78,79,87,86,87,79,87,0,0,0,0,0,0,0,0,0,4040
44,58,68,45,58,68,78,79,85,85,87,79,87,0,0,0,0,0,0,0,0,0,4040
56,59,74,56,59,74,78,80,88,88,0,0,0,0,0,0,0,0,0,0,0,0,4040
51,56,73,51,56,73,79,78,85,84,84,82,0,0,0,0,0,0,0,0,0,0,4040
57,56,61,57,56,62,78,78,84,85,83,82,0,0,0,0,0,0,0,0,0,0,4039
56,53,78,58,53,77,78,78,86,86,83,82,85,0,0,0,0,0,0,0,0,0,4039
44,55,82,43,55,81,0,0,74,75,75,75,85,77,79,88,78,0,0,0,0,0,4039
42,59,71,42,59,71,85,84,75,75,84,83,0,80,79,90,81,0,0,0,0,0,4039
45,48,80,45,48,67,75,75,75,74,78,77,0,0,77,0,0,0,0,0,0,0,4038
56,68,72,56,68,0,0,0,81,82,0,0,0,0,0,0,0,0,0,0,0,0,4038
57,59,83,56,58,81,71,72,75,75,77,77,0,83,0,0,0,0,0,0,0,0,4038
61,52,88,61,52,81,78,76,90,90,88,88,0,83,0,0,0,0,0,0,0,0,4038
65,42,88,65,42,0,76,75,87,89,80,81,0,0,0,0,0,85,84,0,0,0,4038
48,63,73,49,63,73,79,0,77,78,81,84,85,87,85,0,86,92,90,0,0,0,4039
26,61,63,33,61,64,0,0,70,70,73,73,80,0,80,0,0,0,0,0,0,0,4041
38,60,64,37,62,65,0,0,87,86,84,84,80,0,80,0,0,0,0,0,0,0,4041
57,52,64,56,52,64,77,77,87,86,84,84,0,86,0,0,81,0,0,0,0,0,4041
40,54,69,41,53,69,86,87,77,77,78,79,0,86,0,0,81,0,0,0,0,0,4041
46,57,70,46,58,71,86,87,89,89,78,79,0,0,0,0,0,0,0,0,0,0,4041
40,63,53,41,64,53,87,92,74,74,76,76,86,0,84,0,0,0,0,88,90,91,4041
