@relation _tm450

@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 00:1b:11:a8:31:ec integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 14:30:c6:3e:e5:7c integer
@attribute 84:18:3a:2c:55:88 integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 84:18:3a:6c:55:88 integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 00:0e:8f:18:9a:93 integer

@attribute ROOM {4041,4040,4039,4038,4005,4023,4022,4006,4007,}

@data

35,65,67,53,70,35,67,52,70,86,68,76,83,87,68,76,88,0,0,0,0,0,0,0,4041
36,60,60,51,78,35,62,51,78,0,77,82,85,87,68,81,88,0,0,0,0,0,0,0,4041
33,72,55,52,70,33,56,52,71,81,77,82,86,0,0,81,0,84,0,0,0,0,0,0,4041
25,62,56,53,67,26,56,53,66,81,68,81,81,0,67,81,0,84,0,0,0,0,0,0,4041
34,59,48,51,81,25,48,52,82,0,71,80,81,0,70,79,0,0,0,0,0,0,0,0,4041
42,64,49,57,81,42,49,58,81,78,82,80,82,0,83,79,0,78,0,0,0,0,0,0,4041
37,62,51,54,82,37,49,54,80,85,75,0,84,0,75,0,0,86,0,0,0,0,0,0,4041
35,62,49,55,85,35,49,56,84,84,79,0,82,0,80,0,0,83,83,0,0,0,0,0,4041
35,61,49,55,75,35,48,54,76,84,80,0,86,0,79,0,0,84,83,0,0,0,0,0,4041
36,62,48,58,75,35,48,58,76,84,82,0,78,0,80,0,0,84,0,0,0,0,0,0,4041
41,59,53,60,72,41,54,59,71,83,82,0,76,0,80,0,0,84,91,86,0,0,0,0,4041
44,61,53,61,79,45,54,61,78,78,77,0,77,0,76,0,0,76,91,86,0,0,0,0,4041
47,61,53,64,79,47,54,63,80,78,77,0,79,0,76,0,0,76,0,0,0,0,0,0,4041
45,49,47,71,79,46,46,70,80,75,0,0,75,0,0,0,0,75,0,0,0,0,0,0,4040
52,61,49,73,0,52,50,72,0,79,84,0,81,0,0,0,0,78,0,0,0,0,0,0,4040
52,63,49,74,0,53,50,74,0,79,84,0,85,0,0,0,0,79,0,0,0,0,0,0,4040
57,56,51,74,84,57,51,75,84,79,0,0,84,0,0,0,0,79,0,0,0,0,0,0,4040
44,49,52,68,79,43,52,68,79,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,4040
49,49,52,76,78,49,51,72,75,79,78,0,78,0,76,0,0,79,0,0,0,0,0,0,4040
43,50,54,73,78,44,55,74,75,80,76,0,78,0,76,0,0,81,0,0,0,0,0,0,4040
51,53,47,75,81,51,48,75,81,75,0,0,76,0,0,0,0,74,0,0,0,0,0,0,4039
50,47,47,73,81,51,47,74,81,87,0,0,76,0,0,0,0,87,0,0,0,0,0,0,4039
50,48,47,73,80,51,47,74,80,71,0,0,73,0,0,0,0,73,0,0,0,0,0,0,4039
52,47,50,77,78,52,51,76,77,71,0,0,75,0,0,0,0,77,0,0,0,0,0,0,4039
52,49,53,75,80,52,53,77,80,78,82,0,74,0,81,0,0,78,0,0,0,0,0,0,4039
50,49,50,71,80,50,50,74,80,75,82,0,75,0,81,0,0,75,0,0,0,0,0,0,4039
49,48,50,74,78,49,50,73,80,77,80,0,75,0,79,0,0,77,0,0,0,0,0,0,4039
46,47,44,78,78,47,43,79,76,77,80,0,74,0,79,0,0,77,0,0,0,0,0,0,4039
58,57,42,78,82,54,44,79,81,62,0,0,64,0,0,0,0,63,0,0,0,0,0,0,4038
54,53,45,73,85,53,45,72,81,73,76,0,74,89,78,0,0,72,0,0,0,0,0,0,4038
53,51,51,71,85,53,51,73,0,74,76,78,74,89,81,0,0,74,0,0,86,85,0,0,4038
54,51,56,77,79,53,58,74,80,74,0,80,77,0,81,80,0,75,0,0,85,87,0,0,4038
55,51,55,80,80,54,56,74,80,72,0,80,71,86,0,80,0,72,0,0,85,87,0,0,4038
53,58,54,77,83,53,54,84,82,72,0,0,75,86,0,0,0,71,0,0,0,0,0,0,4038
52,62,43,76,80,52,44,76,80,69,78,0,77,0,78,0,0,70,0,0,91,92,0,0,4038
54,62,41,78,77,54,41,78,77,78,0,83,78,0,0,81,88,80,0,0,88,88,0,0,4038
59,62,53,83,86,60,54,78,84,75,82,0,80,0,0,0,88,76,0,0,85,85,89,0,4038
65,49,59,83,86,64,56,78,84,86,82,0,83,0,0,0,0,87,0,0,85,85,89,0,4005
64,52,60,0,0,64,58,0,0,86,0,0,78,0,0,0,0,85,0,0,0,0,0,0,4005
63,59,61,0,0,63,61,0,0,76,0,0,78,0,0,0,0,76,0,0,0,0,0,0,4005
63,45,54,0,0,63,54,0,0,82,0,0,79,0,0,0,0,82,0,0,0,0,0,0,4005
59,49,56,0,0,59,55,0,0,82,0,0,84,0,0,0,0,82,0,0,0,0,0,0,4005
65,47,54,78,0,64,55,80,0,85,0,0,78,0,0,0,0,86,0,0,0,0,0,0,4005
64,43,55,83,0,65,55,83,0,79,0,0,80,0,0,0,0,79,0,0,0,0,0,0,4005
61,46,55,84,0,61,56,82,0,83,0,0,78,0,0,0,0,84,0,0,0,0,0,0,4005
61,42,55,82,0,61,54,83,0,79,0,0,79,0,0,0,0,81,0,0,0,0,0,0,4005
61,46,61,84,0,61,61,85,0,79,0,0,81,0,0,0,0,81,0,0,0,0,0,0,4005
58,44,50,84,0,58,51,85,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,4005
62,50,53,0,88,62,54,0,88,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,4005
50,49,59,78,0,50,59,77,0,85,0,0,79,0,0,0,0,86,0,0,0,0,0,0,4023
59,53,54,78,0,58,54,77,0,85,0,0,72,0,0,0,0,86,0,0,0,0,0,0,4023
64,49,57,77,0,63,56,77,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,4023
61,55,62,80,0,61,61,79,0,86,0,0,77,0,0,0,0,0,0,0,0,0,0,0,4023
57,51,54,80,85,58,55,80,87,86,0,0,70,0,0,0,0,0,0,0,0,0,0,0,4023
61,50,62,75,85,61,60,76,87,85,0,0,81,0,0,0,0,85,0,0,0,0,0,0,4023
55,52,67,76,0,55,60,76,0,85,0,0,79,0,0,0,0,85,0,0,0,0,0,0,4023
61,55,56,79,0,59,54,80,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,4023
58,52,55,80,0,59,55,83,0,83,0,0,72,0,0,0,0,84,0,0,0,0,0,0,4023
58,55,57,82,0,58,57,81,0,83,0,0,76,0,0,0,0,84,0,0,0,0,0,0,4023
56,50,55,83,0,57,53,81,0,81,0,0,72,0,0,0,0,0,0,0,0,0,0,0,4023
56,52,63,83,0,56,55,81,0,75,0,0,68,0,0,0,0,77,0,0,0,0,0,0,4023
59,60,58,80,88,59,59,84,0,74,0,0,73,0,0,0,0,73,0,0,0,0,0,0,4023
