@relation _tm450

@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:ba:03:18 integer

@attribute ROOM {4038,4039,4040,4041,}

@data

77,79,49,40,74,0,50,43,75,0,66,67,0,0,0,0,0,0,0,4038
74,76,43,49,71,0,43,50,69,0,71,72,0,0,0,0,0,0,0,4038
74,76,52,47,70,0,52,46,71,0,70,70,0,95,0,0,0,0,0,4038
80,80,49,44,72,78,49,43,73,78,72,74,0,95,0,0,0,0,0,4038
79,78,48,45,72,0,49,45,72,0,76,76,0,0,0,0,0,0,0,4038
82,81,43,47,72,0,44,48,72,0,73,72,0,0,0,0,0,0,0,4038
78,77,49,48,70,0,49,48,70,0,76,75,0,0,0,0,0,0,0,4039
76,75,46,46,69,0,47,46,69,0,73,72,0,0,0,0,0,0,0,4039
76,76,49,50,68,0,48,50,68,0,73,75,0,0,87,86,0,0,0,4039
75,74,46,50,67,0,46,50,67,78,0,75,0,0,87,86,0,0,0,4039
75,74,47,48,67,80,47,50,69,78,77,77,0,0,0,0,0,0,0,4039
73,80,45,50,68,80,45,50,68,78,77,75,0,0,0,0,0,0,0,4039
73,70,42,60,68,73,43,59,67,80,82,80,0,0,0,0,0,0,0,4040
72,73,42,63,69,75,42,61,69,77,84,85,0,0,0,0,0,0,0,4040
66,65,44,48,72,78,43,49,74,77,78,78,0,0,0,0,90,0,0,4040
61,62,40,52,67,79,40,52,66,80,72,72,0,0,0,0,0,0,0,4040
69,70,44,53,64,75,43,53,64,76,67,68,0,0,0,0,0,0,0,4040
54,55,35,62,71,78,35,63,70,77,67,68,0,0,0,0,0,81,0,4041
63,63,35,49,65,81,35,49,65,81,79,81,0,0,0,0,0,81,0,4041
62,61,34,53,65,78,37,54,65,78,79,79,0,0,0,0,0,0,0,4041
61,60,24,63,75,75,25,62,75,74,79,79,0,0,0,0,0,83,82,4041
52,52,35,53,73,82,35,53,74,79,85,85,0,0,0,0,78,81,81,4041
55,55,35,54,73,82,36,54,78,79,86,85,0,0,0,0,79,81,80,4041
56,56,34,57,72,0,35,58,72,0,86,85,0,0,0,0,85,85,85,4041
59,60,35,58,70,78,35,59,71,77,86,0,0,0,0,0,80,79,80,4041
56,57,33,56,70,78,34,56,71,77,87,87,0,0,0,0,80,79,80,4041
53,54,35,56,0,0,35,53,0,0,87,87,0,0,0,0,0,0,0,4041
79,79,43,52,78,80,43,53,78,78,73,72,0,0,0,0,0,0,0,4038
77,77,50,47,71,80,50,48,72,78,69,70,90,0,0,0,0,0,0,4038
