@relation _tm450

@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 14:30:c6:3e:e5:7c integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 84:18:3a:69:0e:08 integer

@attribute ROOM {4041,4040,4039,4038,}

@data

45,51,45,51,67,66,0,0,81,0,72,73,0,0,94,92,0,0,4040
51,52,51,52,67,66,0,0,81,92,72,73,0,0,94,92,0,0,4040
57,57,57,58,73,73,0,0,0,92,0,0,0,0,0,0,0,0,4039
48,49,48,49,78,77,0,0,84,82,0,0,0,0,0,0,0,0,4039
44,59,45,59,78,77,0,0,84,83,81,0,0,0,0,0,0,0,4039
50,52,51,53,85,0,80,0,0,83,85,0,0,0,0,0,79,0,4039
51,57,50,57,85,81,80,0,0,90,86,86,0,0,0,0,79,0,4039
58,51,57,51,0,81,0,0,0,90,86,86,0,0,0,0,0,0,4039
46,65,45,64,76,76,85,81,81,0,0,0,0,0,0,0,81,0,4039
50,52,51,52,87,91,85,81,81,0,0,0,0,0,0,0,81,0,4039
51,64,50,63,72,72,0,79,80,0,0,93,0,0,0,0,0,0,4039
48,53,49,54,72,72,82,84,84,0,0,93,0,0,0,0,81,0,4039
52,57,52,57,74,74,82,81,81,0,85,86,0,0,0,0,81,0,4039
58,49,57,49,79,81,0,82,82,87,82,80,0,0,0,0,0,88,4039
59,51,59,52,87,83,81,80,79,88,77,76,0,0,86,86,82,0,4038
51,44,51,44,0,83,0,80,79,81,0,0,0,0,85,87,0,0,4038
54,52,54,52,0,0,0,0,0,81,0,0,0,0,85,87,0,0,4038
53,55,53,54,0,0,0,84,82,79,75,75,0,0,86,86,0,0,4038
56,46,56,47,0,0,0,84,82,79,75,75,0,0,86,86,0,0,4038
47,52,46,52,0,0,83,80,83,83,75,75,0,0,89,90,0,0,4038
63,50,63,51,82,83,83,80,83,88,75,74,0,0,89,90,0,0,4038
58,63,61,63,79,78,0,0,0,87,0,81,0,0,0,0,0,0,4038
62,56,62,56,79,78,0,0,86,90,75,77,0,0,92,93,0,0,4038
35,58,35,59,55,56,80,77,77,0,0,0,0,0,0,0,0,0,4041
38,56,39,56,61,61,0,77,77,92,0,0,0,0,0,0,0,0,4041
41,61,44,61,59,58,0,67,66,92,0,0,0,0,0,0,0,0,4041
36,49,36,49,48,52,0,81,81,0,0,0,0,0,0,0,0,0,4041
40,53,40,54,59,59,0,69,69,0,83,0,0,0,0,0,0,0,4041
37,65,38,65,52,53,0,91,69,0,83,0,0,0,0,0,0,0,4041
40,51,40,51,56,57,0,91,0,0,81,79,0,0,0,0,0,0,4041
48,57,47,56,69,71,0,85,77,0,87,84,88,87,0,0,0,0,4040
50,56,50,57,69,71,0,86,86,0,0,0,0,0,0,0,0,0,4040
47,56,46,55,73,73,0,86,86,0,0,0,0,0,0,0,0,0,4040
55,52,46,52,73,73,0,0,0,0,0,77,0,0,0,0,0,0,4040
48,61,47,62,72,73,0,0,0,0,0,80,0,0,0,0,0,0,4040
48,60,48,59,72,73,0,0,0,0,78,79,0,0,0,0,0,0,4040
