@relation _tm450

@attribute 6c:aa:b3:3c:80:88 integer
@attribute 6c:aa:b3:3c:80:8c integer
@attribute 6c:aa:b3:39:f0:b8 integer
@attribute 6c:aa:b3:39:f0:bc integer
@attribute 6c:aa:b3:37:f5:68 integer
@attribute 6c:aa:b3:3c:33:a8 integer
@attribute 6c:aa:b3:7c:80:88 integer
@attribute 6c:aa:b3:7c:80:8c integer
@attribute 6c:aa:b3:79:f0:b8 integer
@attribute 6c:aa:b3:79:f0:bc integer
@attribute 6c:aa:b3:77:f5:68 integer
@attribute 6c:aa:b3:7c:33:a8 integer
@attribute 6c:aa:b3:3c:33:ac integer
@attribute 6c:aa:b3:38:0d:a8 integer
@attribute 6c:aa:b3:7c:33:ac integer
@attribute 6c:aa:b3:78:0d:a8 integer
@attribute 6c:aa:b3:38:0d:ac integer
@attribute 6c:aa:b3:78:0d:ac integer
@attribute 84:18:3a:2c:06:58 integer
@attribute 84:18:3a:6c:06:58 integer
@attribute 6c:aa:b3:79:7d:38 integer
@attribute 6c:aa:b3:39:7d:3c integer
@attribute 6c:aa:b3:79:7d:3c integer
@attribute 6c:aa:b3:39:7d:38 integer
@attribute 00:1c:28:71:d3:af integer
@attribute 00:0b:3b:cb:ea:1c integer
@attribute 84:18:3a:23:ae:08 integer
@attribute 84:18:3a:63:ae:08 integer
@attribute 00:19:cb:57:e4:18 integer
@attribute 00:1a:2a:3e:c8:2d integer
@attribute c0:25:06:71:ee:29 integer
@attribute 00:26:99:4f:e1:61 integer
@attribute 00:26:99:4f:db:11 integer
@attribute 00:26:99:4f:db:10 integer
@attribute 00:26:99:4f:e1:60 integer

@attribute ROOM {4141,4144,4142,4138,4139,4143,4137,}

@data

58,71,57,61,76,76,56,72,56,60,76,75,88,84,88,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
50,72,61,60,77,78,51,73,61,59,76,78,88,85,87,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
68,80,45,49,78,65,69,79,45,53,78,65,82,77,82,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
57,80,44,51,79,66,57,79,45,50,80,66,69,84,70,83,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
65,70,46,45,73,68,65,69,46,45,73,68,69,82,69,83,85,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
66,63,52,45,75,62,65,62,52,46,76,63,58,82,59,80,86,86,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
63,63,58,52,77,68,63,63,58,52,77,69,64,81,64,80,83,82,79,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
69,72,47,52,80,61,68,74,47,52,80,61,63,81,66,80,86,86,76,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
64,72,39,40,78,66,63,74,39,40,79,66,71,83,72,82,86,89,76,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
73,73,42,51,80,64,72,73,42,52,81,64,70,84,70,83,88,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
68,71,41,47,83,64,64,72,41,48,84,65,73,78,75,79,86,88,78,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
71,74,49,54,86,68,72,73,49,54,85,69,67,85,67,83,86,88,78,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
68,63,51,51,86,64,68,64,51,51,87,64,66,85,66,83,85,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
65,68,47,46,80,73,64,67,47,47,82,74,66,0,66,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
61,68,43,49,82,73,62,67,44,49,82,73,66,77,67,78,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
67,72,47,41,71,69,65,71,47,42,72,68,74,77,75,77,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141
72,85,60,58,74,62,72,84,60,57,76,62,64,80,63,80,77,79,78,77,88,91,92,0,0,0,0,0,0,0,0,0,0,0,0,4144
74,79,57,61,72,63,73,79,56,62,73,63,72,76,71,75,78,77,74,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4144
72,77,53,61,72,63,73,79,54,61,72,63,72,71,71,72,76,78,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4144
70,78,50,62,73,54,70,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4144
70,76,58,0,74,53,69,76,56,0,74,54,64,65,63,64,83,83,73,73,80,0,0,79,0,0,0,0,0,0,0,0,0,0,0,4144
72,76,53,52,72,58,68,76,52,53,73,59,64,70,63,71,82,82,66,66,86,0,0,86,0,0,0,0,0,0,0,0,0,0,0,4144
70,72,58,63,72,56,69,71,57,65,73,56,65,69,65,67,74,74,75,76,86,0,0,86,0,0,0,0,0,0,0,0,0,0,0,4144
76,86,57,60,66,55,77,86,59,60,66,55,60,69,61,69,77,76,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4144
76,89,53,65,70,70,79,89,61,65,71,70,69,78,69,76,78,78,80,78,84,0,0,83,0,0,0,0,0,0,0,0,0,0,0,4144
76,78,57,65,58,64,75,77,56,65,57,65,75,72,75,76,83,84,77,76,85,0,0,86,0,0,0,0,0,0,0,0,0,0,0,4144
68,78,68,70,55,76,75,77,67,70,56,77,75,71,75,76,90,90,80,79,85,0,0,86,0,0,0,0,0,0,0,0,0,0,0,4144
62,65,63,75,43,67,61,65,64,76,43,69,82,79,81,79,90,92,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
60,57,70,75,57,72,60,57,69,76,57,71,82,82,93,82,90,92,71,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
57,61,65,75,51,74,57,61,66,76,51,73,0,73,93,75,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
44,61,65,76,52,70,44,61,65,76,52,71,90,83,89,84,0,0,77,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
72,75,68,81,59,84,71,75,69,84,59,81,0,87,0,0,0,0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
59,76,75,86,65,84,59,76,74,87,64,81,0,0,0,0,0,0,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
71,76,78,81,63,0,70,76,78,81,63,0,0,86,0,0,0,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
69,76,78,83,54,0,70,75,76,82,54,0,0,88,0,0,0,0,78,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
67,78,79,83,50,78,67,78,78,83,51,80,0,88,0,0,0,0,82,83,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,4142
67,76,73,83,55,81,66,76,73,83,55,83,0,0,0,0,0,0,82,83,0,0,0,0,85,78,0,0,0,0,0,0,0,0,0,4142
60,75,73,73,46,75,60,74,77,74,45,76,91,0,89,0,0,0,75,77,0,0,0,0,0,81,88,87,0,0,0,0,0,0,0,4142
68,75,73,73,49,80,69,74,73,74,49,81,91,84,89,0,0,0,74,74,0,0,0,0,0,78,88,87,0,0,0,0,0,0,0,4142
65,73,72,76,39,76,66,72,72,78,39,79,87,84,87,0,0,0,72,74,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,4142
60,73,74,70,35,74,59,72,75,71,35,74,85,81,85,80,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
63,0,79,85,42,76,63,0,78,86,42,76,85,88,85,80,0,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138
69,82,78,85,42,81,70,82,78,86,42,82,0,88,0,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138
69,75,82,83,51,83,70,77,81,84,51,82,0,0,0,0,0,0,77,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138
65,82,73,83,56,81,67,83,73,84,55,83,0,0,0,0,0,0,79,79,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,4138
65,69,67,67,35,80,65,69,67,68,35,79,83,0,84,0,90,89,79,79,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,4138
66,73,74,83,56,80,67,72,73,83,55,79,83,91,84,87,90,89,73,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138
72,75,81,83,57,0,73,76,80,83,56,0,0,91,0,87,0,0,73,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138
73,78,78,83,49,0,72,78,78,85,49,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138
66,75,80,83,54,81,66,77,79,85,54,84,93,0,0,0,0,0,78,87,0,0,0,0,0,75,0,0,83,82,0,0,0,0,0,4138
72,78,74,87,55,76,74,79,76,88,56,77,0,85,93,86,0,0,78,87,0,0,0,0,0,75,0,0,83,82,0,0,0,0,0,4138
70,72,74,87,51,76,70,72,72,88,50,77,0,85,93,88,0,0,79,79,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,4138
60,77,75,84,56,0,60,77,75,85,58,0,0,0,0,88,0,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138
77,77,77,79,53,83,77,77,75,79,53,84,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,85,0,0,0,0,4138
66,77,74,88,56,83,64,76,74,88,56,83,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,87,0,0,0,0,4139
63,71,71,91,69,82,63,70,70,93,69,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
