@relation _tm450

@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 6c:aa:b3:b9:e1:a8 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute 84:18:3a:29:04:58 integer
@attribute e8:fc:af:88:91:78 integer
@attribute 84:18:3a:69:04:58 integer
@attribute 02:23:08:60:36:48 integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 34:31:c4:0a:ea:d2 integer
@attribute 64:66:b3:78:82:8b integer
@attribute 64:66:b3:78:82:8a integer
@attribute 08:96:d7:04:e1:fa integer
@attribute 12:a0:96:f6:ec:b3 integer

@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data

73,75,84,84,70,49,50,71,55,78,81,56,80,83,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
79,79,87,85,70,50,51,71,52,76,80,52,77,79,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
70,70,83,84,70,52,52,72,49,75,75,50,75,78,72,75,85,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
75,75,83,84,70,50,50,72,47,73,75,47,74,78,72,73,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
73,74,85,85,69,47,47,70,46,75,0,48,76,0,74,74,86,86,82,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
73,74,85,86,70,48,48,70,48,74,0,48,74,0,73,73,0,0,84,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
75,73,85,86,70,47,47,70,46,74,77,47,75,77,71,73,0,0,84,82,82,86,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
78,78,93,92,61,43,41,61,57,64,79,56,64,81,60,60,0,0,74,79,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
74,75,88,87,66,38,38,67,59,64,79,59,64,81,72,69,0,0,74,79,79,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
70,71,85,86,64,42,42,65,53,72,76,53,71,77,60,60,0,0,78,79,79,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
62,63,85,86,64,38,39,65,56,58,76,57,59,77,67,75,0,88,78,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
