@relation _tm450

@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute e8:fc:af:88:91:78 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 02:23:08:60:36:48 integer

@attribute ROOM {2151,2152,2153,2131,2130,2123,2124,}

@data

60,81,0,85,0,59,82,0,85,0,78,0,79,0,72,0,0,74,0,0,0,0,0,0,0,0,0,0,2131
57,81,0,85,0,59,82,0,85,0,78,0,79,0,81,0,0,79,0,0,0,0,0,0,0,0,0,0,2131
57,0,0,88,0,0,0,0,87,0,85,0,85,0,81,0,0,77,0,0,0,0,0,0,0,0,0,0,2131
57,63,0,83,0,58,64,0,83,0,85,0,85,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,2131
62,75,0,87,0,61,75,0,87,0,0,0,83,0,82,0,0,83,0,0,0,0,0,0,0,0,0,0,2131
61,70,84,84,0,62,0,84,84,0,82,0,82,0,81,0,0,80,0,0,0,0,0,0,0,0,0,0,2131
62,68,0,82,0,62,67,80,82,0,0,0,0,0,76,0,0,76,0,0,0,0,0,0,0,0,0,0,2131
58,71,75,84,91,58,72,75,85,91,0,0,0,85,81,0,0,80,0,0,0,0,0,0,0,0,0,0,2131
49,70,0,83,0,50,69,0,83,0,0,0,90,0,77,0,0,76,0,0,0,0,0,0,0,0,0,0,2131
53,73,0,79,0,53,72,0,82,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
52,81,0,0,0,51,82,0,0,0,80,0,79,0,84,0,0,80,0,0,0,0,0,0,0,0,0,0,2123
