@relation _tm450

@attribute 00:1b:11:a8:31:ec integer
@attribute 6c:aa:b3:39:d3:d8 integer
@attribute 6c:aa:b3:38:fa:1c integer
@attribute 6c:aa:b3:38:fa:18 integer
@attribute 6c:aa:b3:37:bb:18 integer
@attribute 6c:aa:b3:37:bb:1c integer
@attribute 6c:aa:b3:38:39:a8 integer
@attribute 84:18:3a:29:05:38 integer
@attribute 6c:aa:b3:79:d3:d8 integer
@attribute 6c:aa:b3:78:fa:1c integer
@attribute 6c:aa:b3:78:fa:18 integer
@attribute 6c:aa:b3:77:bb:18 integer
@attribute 6c:aa:b3:77:bb:1c integer
@attribute 6c:aa:b3:78:39:a8 integer
@attribute 84:18:3a:69:05:38 integer
@attribute 84:18:3a:28:fa:b8 integer
@attribute 14:30:c6:3e:e5:7c integer
@attribute 84:18:3a:68:fa:b8 integer
@attribute 6c:aa:b3:b8:fa:17 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 84:18:3a:69:0e:08 integer
@attribute 84:18:3a:2c:55:88 integer
@attribute 84:18:3a:6c:55:88 integer
@attribute 84:18:3a:29:05:3c integer
@attribute 84:18:3a:69:05:3c integer
@attribute 6c:aa:b3:38:39:ac integer
@attribute 6c:aa:b3:78:39:ac integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 00:0e:8f:18:9a:93 integer

@attribute ROOM {4041,4040,4039,4038,4007,4022,4006,4023,4005,}

@data

63,39,60,58,60,76,73,77,40,60,58,60,76,72,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
59,25,55,51,58,76,79,77,26,55,51,59,76,78,78,83,86,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
62,24,60,58,55,78,79,81,24,60,58,54,79,78,83,83,87,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
59,37,54,58,66,78,77,84,37,54,57,64,77,77,85,83,87,83,54,83,85,85,0,0,0,0,0,0,0,0,0,0,4041
58,35,51,55,66,79,72,82,35,51,54,68,80,73,85,83,84,82,54,85,85,85,0,0,0,0,0,0,0,0,0,0,4041
60,41,53,62,64,81,76,85,41,53,62,63,81,74,85,86,84,88,0,85,85,85,0,0,0,0,0,0,0,0,0,0,4041
50,49,48,49,75,81,70,85,48,48,49,73,81,69,85,86,82,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
53,56,48,52,76,0,70,80,56,48,51,76,0,72,84,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
60,50,58,47,75,0,73,84,50,57,47,75,0,72,86,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
55,55,54,59,74,0,76,87,54,54,59,74,0,77,86,0,86,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
57,51,55,61,76,0,69,80,52,55,61,76,0,69,81,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
65,56,54,54,82,0,70,84,55,55,54,81,0,69,82,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040
49,50,47,54,80,0,82,81,48,47,54,80,0,80,81,85,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
42,47,56,59,82,0,73,80,47,56,59,83,0,81,80,82,0,86,56,0,0,0,0,0,0,0,0,0,0,0,0,0,4039
